/Users/bigoh/Documents/CProjects/Acade/Academix/src/app/providers/locale-management/model/i18n.model.ts: line 30, col 9, Warning - Unused eslint-disable directive (no problems were reported from 'no-console').
/Users/bigoh/Documents/CProjects/Acade/Academix/src/app/providers/locale-management/model/i18n.model.ts: line 38, col 7, Warning - Unused eslint-disable directive (no problems were reported from 'no-console').
/Users/bigoh/Documents/CProjects/Acade/Academix/src/app/providers/state-management/QueryProvider/index.tsx: line 26, col 17, Error - 'defaultMessage' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/app/providers/theme-management/theme/component.tsx: line 1, col 1, Warning - Unused eslint-disable directive (no problems were reported from 'complexity').
/Users/bigoh/Documents/CProjects/Acade/Academix/src/app/providers/theme-management/theme/component.tsx: line 2, col 8, Error - 'React' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/app/providers/theme-management/theme/component.tsx: line 7, col 3, Error - 'CircularProgress' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/app/providers/theme-management/theme/dark.theme.ts: line 1, col 1, Warning - Unused eslint-disable directive (no problems were reported from '@typescript-eslint/no-non-null-assertion').
/Users/bigoh/Documents/CProjects/Acade/Academix/src/app/providers/theme-management/theme/index.ts: line 1, col 1, Warning - Unused eslint-disable directive (no problems were reported from '@typescript-eslint/no-empty-interface').
/Users/bigoh/Documents/CProjects/Acade/Academix/src/app/providers/theme-management/theme/index.ts: line 118, col 1, Warning - Unused eslint-disable directive (no problems were reported from 'import/no-mutable-exports').
/Users/bigoh/Documents/CProjects/Acade/Academix/src/app/providers/theme-management/theme/light.theme.ts: line 1, col 1, Warning - Unused eslint-disable directive (no problems were reported from '@typescript-eslint/no-non-null-assertion').
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/api/event.api.ts: line 60, col 16, Error - 'parseError' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/api/events/events.api.ts: line 3, col 15, Error - 'EventSchema' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/BlogDetailModal.tsx: line 3, col 34, Error - 'Button' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Carousel-section/CarouselSection.tsx: line 2, col 10, Error - 'Divider' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Carousel-section/CarouselSection.tsx: line 2, col 19, Error - 'Stack' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Carousel-section/CarouselSection.tsx: line 3, col 15, Error - 'Card' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Carousel-section/CarouselSection.tsx: line 3, col 21, Error - 'CardContent' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Carousel-section/CarouselSection.tsx: line 3, col 34, Error - 'Typography' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Carousel-section/CarouselSection.tsx: line 5, col 10, Error - 'publicImages' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Carousel-section/CarouselSection.tsx: line 6, col 8, Error - 'ReactStars' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Carousel-section/CarouselSection.tsx: line 7, col 31, Error - 'SwiperSlide' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/ConfirmDialog.tsx: line 10, col 3, Error - 'CircularProgress' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/FAQ/index.tsx: line 20, col 9, Error - 'theme' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Footer/Footer.tsx: line 3, col 10, Error - 'publicImages' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Footer/Footer.tsx: line 14, col 3, Error - 'TopViewWrapperStyled' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Footer/Footer.tsx: line 19, col 6, Error - 'MenuItem' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Navbar/LogoutPopup/index.tsx: line 5, col 3, Error - 'Chip' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Navbar/LogoutPopup/index.tsx: line 18, col 10, Error - 'LogOutIcon' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Navbar/UserProfile/index.tsx: line 13, col 10, Error - 'userSessionInactive' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/component/Reversable-Section/index.tsx: line 3, col 10, Error - 'Divider' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/hooks/useMenuItems.ts: line 3, col 10, Error - 'appPaths' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/model/hero-section/hero-section.model.tsx: line 1, col 10, Error - 'ReactNode' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/mutation/courses/update-courses.mutation.ts: line 27, col 17, Error - 'data' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/state/activity.state.tsx: line 18, col 14, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/state/app-route/app.route.state.ts: line 73, col 5, Warning - Unused eslint-disable directive (no problems were reported from 'react-hooks/exhaustive-deps').
/Users/bigoh/Documents/CProjects/Acade/Academix/src/entities/state/snack-bar.state.tsx: line 30, col 14, Warning - Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components. (react-refresh/only-export-components)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/about-us/whoWeAre/index.tsx: line 29, col 11, Error - 'smallScreen' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/AddBlog/index.tsx: line 30, col 3, Error - 'Switch' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/AddBlog/index.tsx: line 213, col 9, Error - 'handleToggleActive' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/AddCourse/index.tsx: line 34, col 3, Error - 'Switch' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/AddEvent/index.tsx: line 124, col 45, Error - 'isLoadingSingleEvent' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/AddEvent/index.tsx: line 221, col 16, Error - 'error' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/bigoh/Documents/CProjects/Acade/Academix/src/features/components/admin/AdminNavbar/index.tsx: line 92, col 3, Error - 'theme' is assigned a value but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
